Ticker,Sector,Latest_Headline,Forecast_Score,Forecast_Direction,Actual_Direction,Actual_Return_Pct,Streak_Days,Streak_Return,Momentum,Date,News_Source,News_Time,Headline_Count,Severity,Impact,Signal_Quality,News_URL,Technical_Score,Tech_Signals,Fundamental_Score,Fund_Concern,Macro_Score,Macro_Context,Composite_Score,Composite_Direction,Composite_Severity,BT_Swing,BT_1M,BT_3M,BT_6M,BT_1M_N,BT_Total_Preds,BT_Forward_Days,BT_Threshold,BT_Category,Est_Horizon,BT_ATR_Pct,BT_SL_Level,TR_total_trades,TR_wins,TR_losses,TR_win_rate,TR_avg_win_pct,TR_avg_loss_pct,TR_profit_factor,TR_total_return_pct,TR_avg_holding_days,TR_long_trades,TR_short_trades,TR_long_win_rate,TR_short_win_rate,TR_stop_loss_exits,TR_signal_flip_exits,Tech_Score,News_Score,Fund_Score,Direction_Label,Horizon,Category,Hit,BT_Accuracy,BT_PF,BT_Trades,BT_Signal_Rate,N_Catalysts,News_Direction,Corrected,BT_Avg_SL,Momentum_Direction
PAGEIND,,,,,,0.6,,,,2026-06-17,,,,,,,,,,,,4.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
PATANJALI,,,,,,-1.54,,,,2026-06-17,,,,,,,,,,,,-1.4,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
RRKABEL,,,,,,0.4,,,,2026-06-17,,,,,,,,,,,,5.8,,-24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40.0,0.0,2.0,NEGATIVE,,LARGE,,,,,,,,,,-1.0
SARDAEN,,,,,,-0.1,,,,2026-06-17,,,,,,,,,,,,-0.2,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6.0,NEUTRAL,,MID,,,,,,,,,,0.0
SOLARINDS,,,,,,3.3,,,,2026-06-17,,,,,,,,,,,,-0.2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,NEUTRAL,,MEGA,,,,,,,,,,0.0
TBOTEK,,,,,,2.34,,,,2026-06-17,,,,,,,,,,,,4.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,NEUTRAL,,MID,,,,,,,,,,0.0
TCS,,,,,,1.09,,,,2026-06-17,,,,,,,,,,,,3.5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.4,8.0,NEUTRAL,,MEGA,,,,,,,,,,0.0
TRENT,,,,,,7.07,,,,2026-06-17,,,,,,,,,,,,4.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,NEUTRAL,,MEGA,,,,,,,,,,0.0
UNOMINDA,,,,,,-0.14,,,,2026-06-17,,,,,,,,,,,,4.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
VIJAYA,,,,,,0.07,,,,2026-06-17,,,,,,,,,,,,1.3,,-25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40.0,0.0,-1.0,NEGATIVE,,MID,,,,,,,,,,-1.0
ZFCVINDIA,,,,,,1.55,,,,2026-06-17,,,,,,,,,,,,4.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-2.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
ZYDUSLIFE,,,,,,-1.6,,,,2026-06-17,,,,,,,,,,,,1.3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9.0,NEUTRAL,,MEGA,,,,,,,,,,0.0
ECLERX,,,,,,1.41,,,,2026-06-17,,,,,,,,,,,,3.5,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8.0,NEUTRAL,,MID,,,,,,,,,,0.0
AIAENG,,,,,,0.7,,,,2026-06-18,,,,,,,,,,,,6.3,,-17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40.0,0.0,5.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
AFFLE,,,,,,0.6,,,,2026-06-18,,,,,,,,,,,,1.3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
APARINDS,,,,,,-1.81,,,,2026-06-18,,,,,,,,,,,,6.3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
ASIANPAINT,,,,,,0.62,,,,2026-06-18,,,,,,,,,,,,-0.6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,NEUTRAL,,MEGA,,,,,,,,,,0.0
BLS,,,,,,0.85,,,,2026-06-18,,,,,,,,,,,,6.3,,-16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40.0,0.0,10.0,NEUTRAL,,MID,,,,,,,,,,0.0
BSE,,,,,,0.38,,,,2026-06-18,,,,,,,,,,,,-4.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,27.4,3.0,NEUTRAL,,MEGA,,,,,,,,,,0.0
BEL,,,,,,2.08,,,,2026-06-18,,,,,,,,,,,,6.3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,NEUTRAL,,MEGA,,,,,,,,,,0.0
BIKAJI,,,,,,-1.51,,,,2026-06-18,,,,,,,,,,,,-0.8,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,NEUTRAL,,MID,,,,,,,,,,0.0
BLUESTARCO,,,,,,0.63,,,,2026-06-18,,,,,,,,,,,,6.3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
BRITANNIA,,,,,,0.25,,,,2026-06-18,,,,,,,,,,,,-0.8,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.2,6.0,NEUTRAL,,MEGA,,,,,,,,,,0.0
CAPLIPOINT,,,,,,1.05,,,,2026-06-18,,,,,,,,,,,,3.5,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,NEUTRAL,,MID,,,,,,,,,,0.0
CEMPRO,,,,,,0.71,,,,2026-06-18,,,,,,,,,,,,6.3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
DOMS,,,,,,0.58,,,,2026-06-18,,,,,,,,,,,,6.3,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.4,5.0,NEUTRAL,,MID,,,,,,,,,,0.0
DIXON,,,,,,-1.3,,,,2026-06-18,,,,,,,,,,,,3.2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
ELGIEQUIP,,,,,,0.32,,,,2026-06-18,,,,,,,,,,,,6.3,,-17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40.0,0.0,5.0,NEUTRAL,,MID,,,,,,,,,,0.0
ENDURANCE,,,,,,1.5,,,,2026-06-18,,,,,,,,,,,,5.3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
